Task ID,Book,Lane,Sequential,Depends On,Title,Commit Message,File Ceiling,Line Ceiling,Status,Commit SHA,Notes
CR-V2-B5-006,5,S,true,CR-V2-B5-005,"Freeze Book 5 creative skill, planning, and renderer lane ownership",CR-V2-B5-006: freeze-book-5-creative-skill-planning-and-renderer-lane-ow,8,1400,done,9120c30b39bfb25aa541e4312c4177c32d3c3990,
CR-V2-B5-007,5,P-A,false,CR-V2-B5-006,Implement the product-local skill runtime and resolver,CR-V2-B5-007: implement-the-product-local-skill-runtime-and-resolver,8,1400,done,f54d157dc17f3a6af68c012ff2d84aecfb3f12bc,
CR-V2-B5-008,5,P-A,false,CR-V2-B5-007,Implement Brand and Brand Identity skills as typed services,CR-V2-B5-008: implement-brand-and-brand-identity-skills-as-typed-service,8,1400,done,bcaed9ecf7fb60e319d2c52399b97dbfc13587cf,
CR-V2-B5-009,5,P-A,false,CR-V2-B5-008,Implement Designer as an internal typed asset planner and reviewer,CR-V2-B5-009: implement-designer-as-an-internal-typed-asset-planner-and-,8,1400,done,1784fd1a6dc375a1e3387e75b8c6c06a1e717793,
CR-V2-B5-010,5,P-A,false,CR-V2-B5-009,Implement Writing and packaging copy as internal evidence-bound skills,CR-V2-B5-010: implement-writing-and-packaging-copy-as-internal-evidence-,8,1400,done,a5e7f2a6530e440bd4d96d89b04b62e6e6be8ed4,
CR-V2-B5-011,5,P-A,false,CR-V2-B5-010,Implement Social platform constraints as versioned local data and skill output,CR-V2-B5-011: implement-social-platform-constraints-as-versioned-local-d,8,1400,done,d9d37839297532ad31271461dfd9e24cc9a954f2,
CR-V2-B5-012,5,P-B,false,CR-V2-B5-006,Implement beat/shot creative planning from editorial evidence,CR-V2-B5-012: implement-beat-shot-creative-planning-from-editorial-evide,8,1400,done,c824acb3f469f183f1a1b16c97a1967e6608ecb6,
CR-V2-B5-013,5,P-B,false,CR-V2-B5-012,Implement style bake-offs and acceptance records,CR-V2-B5-013: implement-style-bake-offs-and-acceptance-records,8,1400,done,64c60acb4306613f78bfb744c36270c8901816e5,
CR-V2-B5-014,5,P-B,false,CR-V2-B5-013,"Implement recorded A-roll, generated B-roll, and anchored C-roll planning",CR-V2-B5-014: implement-recorded-a-roll-generated-b-roll-and-anchored-c-,8,1400,done,1a1525286303e33e3ffb09357023ef695e8ae06a,
CR-V2-B5-015,5,P-B,false,CR-V2-B5-014,"Implement asset semantic validation, rights, identity, and label locks",CR-V2-B5-015: implement-asset-semantic-validation-rights-identity-and-la,8,1400,done,e282179f99cee7fb1e1f1777dc16114b065b1320,
CR-V2-B5-016,5,P-B,false,CR-V2-B5-015,"Implement thumbnail, title-card, brand-kit, and package asset plans",CR-V2-B5-016: implement-thumbnail-title-card-brand-kit-and-package-asset,8,1400,done,de3a47d53df72ae8b3ea6774a758a13bc59ca6c9,
CR-V2-B5-017,5,P-C,false,CR-V2-B5-006,Implement the CutRight native GPU/vector compositor core,CR-V2-B5-017: implement-the-cutright-native-gpu-vector-compositor-core,16,3000,done,504b9c16de0f400a8ce8109cb6b5b415f3cd2962,
CR-V2-B5-018,5,P-C,false,CR-V2-B5-017,"Implement native typography, captions, and text animation",CR-V2-B5-018: implement-native-typography-captions-and-text-animation,8,1400,done,047f52d31c8552ceac90bb906b2d7124c0c7f82f,
CR-V2-B5-019,5,P-C,false,CR-V2-B5-018,"Implement native motion grammar, reframing, and temporal placement",CR-V2-B5-019: implement-native-motion-grammar-reframing-and-temporal-pla,8,1400,done,14eb082d20b23eb4f6a22a5bc995a16c682b3e91,
CR-V2-B5-020,5,P-C,false,CR-V2-B5-019,"Implement native audio finishing, music/SFX, transient sync, and reverb throw",CR-V2-B5-020: implement-native-audio-finishing-music-sfx-transient-sync-,8,1400,done,9772e47437e17c006751d3da12143df695ccabb8,
CR-V2-B5-021,5,P-C,false,CR-V2-B5-020,Implement the native render-graph compiler and remove Remotion/HyperFrames from the active source graph,CR-V2-B5-021: implement-the-native-render-graph-compiler-and-remove-remo,45,14000,done,d0ff943bc51449e5e37715c2535c21f297839b1e,
CR-V2-B5-022,5,S,true,CR-V2-B5-011; CR-V2-B5-016; CR-V2-B5-021,Merge Book 5 lanes and compile versioned FinishPlans,CR-V2-B5-022: merge-book-5-lanes-and-compile-versioned-finishplans,8,1400,done,0973dbc7faeb69f5ce98c4ae3ba303f92f8b1445,
CR-V2-B5-023,5,S,true,CR-V2-B5-022,Implement independent creative critic and deterministic visual QA,CR-V2-B5-023: implement-independent-creative-critic-and-deterministic-vi,8,1400,done,86bff8f2233795275e0155a94ed16538b064807f,
CR-V2-B5-024,5,S,true,CR-V2-B5-023,Integrate generated and procedural creative assembly with the job plane,CR-V2-B5-024: integrate-generated-and-procedural-creative-assembly-with-,8,1400,done,a1d8ced17afe5a49b3d4e6984ecfd7f6de608252,
CR-V2-B5-025,5,S,true,CR-V2-B5-024,Create four-lane creative golden fixtures and native migration comparisons,CR-V2-B5-025: create-four-lane-creative-golden-fixtures-and-native-migra,300,70000,done,3596577450594fd11e8fa959cdd24122f8715ca9,
CR-V2-B5-026,5,S,true,CR-V2-B5-025,"Run focused creative skill, native renderer, audio, and critic tests",CR-V2-B5-026: run-focused-creative-skill-native-renderer-audio-and-criti,1,1200,done,571f527e144208352346429e7550c0e79c04b7d8,
CR-V2-B5-027,5,S,true,CR-V2-B5-026,Run the authoritative Book 5 local gate and freeze creative evidence,CR-V2-B5-027: run-the-authoritative-book-5-local-gate-and-freeze-creativ,2,1500,done,0cfee96dac56c50bdd3849e5db3996d96f29fd79,
CR-V2-B6-001,6,S,true,Book 5 final gate,"Freeze Studio information architecture, route state, and project read model",CR-V2-B6-001: freeze-studio-information-architecture-route-state-and-pro,8,1400,done,07084fe78e3223b503546fe964a79c7bc38690e1,
CR-V2-B6-002,6,S,true,CR-V2-B6-001,Freeze project library and disposable index contracts,CR-V2-B6-002: freeze-project-library-and-disposable-index-contracts,8,1400,done,749806c196e409134ac8e96c94c45d355ed38558,
CR-V2-B6-003,6,S,true,CR-V2-B6-002,"Freeze Studio action binding, optimistic state, and semantic-diff UX",CR-V2-B6-003: freeze-studio-action-binding-optimistic-state-and-semantic,8,1400,done,21fe9aad42cc0266e671e4e21041678c48756636,
CR-V2-B6-004,6,S,true,CR-V2-B6-003,Freeze timeline authoring UX and corrective operation scope,CR-V2-B6-004: freeze-timeline-authoring-ux-and-corrective-operation-scop,8,1400,done,d24f2eb02a78d354d0f1925feb7dc9c7e8b3d3c0,
CR-V2-B6-005,6,S,true,CR-V2-B6-004,"Freeze embedded agent UX, session, planning, and approval policy",CR-V2-B6-005: freeze-embedded-agent-ux-session-planning-and-approval-pol,8,1400,done,4ebc57e7716b294c14b2642eeb178fc18018b45a,
CR-V2-B6-006,6,S,true,CR-V2-B6-005,"Freeze Book 6 workspace, authoring, and agent lane ownership",CR-V2-B6-006: freeze-book-6-workspace-authoring-and-agent-lane-ownership,8,1400,done,bc1e8892315112b3086bcb483c8ab72f3a031101,
CR-V2-B6-007,6,P-A,false,CR-V2-B6-006,Implement Home and the rebuildable project library,CR-V2-B6-007: implement-home-and-the-rebuildable-project-library,8,1400,done,5eb96acfce525b3f50699188928d66c3a373659e,
CR-V2-B6-008,6,P-A,false,CR-V2-B6-007,Implement Sources and Transcript authoring modes,CR-V2-B6-008: implement-sources-and-transcript-authoring-modes,8,1400,done,9c468a5e7629859c117647b947704d192c1fb0ba,
CR-V2-B6-009,6,P-A,false,CR-V2-B6-008,Implement Story and Beats modes,CR-V2-B6-009: implement-story-and-beats-modes,8,1400,done,c08a32942496549dbdd074f0cde9ee201144af97,
CR-V2-B6-010,6,P-A,false,CR-V2-B6-009,Implement Run mode and one-click Make Versions workflow,CR-V2-B6-010: implement-run-mode-and-one-click-make-versions-workflow,8,1400,done,9d739d647fa328d8a818511f05959ac0e2d9fa55,
CR-V2-B6-011,6,P-A,false,CR-V2-B6-010,"Implement Compare, Finals, and QA & Receipts modes",CR-V2-B6-011: implement-compare-finals-and-qa-receipts-modes,8,1400,done,238106df1835ec1becedd2dd01a7001b334ee33d,
CR-V2-B6-012,6,P-B,false,CR-V2-B6-006,Implement the non-destructive timeline editor,CR-V2-B6-012: implement-the-non-destructive-timeline-editor,60,12000,done,10ab22a346282531e4c0954c937b13495aabf9b4,
CR-V2-B6-013,6,P-B,false,CR-V2-B6-012,Implement Design mode,CR-V2-B6-013: implement-design-mode,8,1400,done,0d87d28c25b2f5db01e869064421d5bccc4f518e,
CR-V2-B6-014,6,P-B,false,CR-V2-B6-013,Implement Motion & Sound mode,CR-V2-B6-014: implement-motion-sound-mode,8,1400,done,4a070310df65b208de311e1bc389780ef6fd8b19,
CR-V2-B6-015,6,P-B,false,CR-V2-B6-014,Implement Assets and Auditions panels,CR-V2-B6-015: implement-assets-and-auditions-panels,8,1400,done,8fd1a3e249bbdddd986e2aaea81da624b146fb81,
CR-V2-B6-016,6,P-B,false,CR-V2-B6-015,Implement corrective operation workflows and comprehensive undo UX,CR-V2-B6-016: implement-corrective-operation-workflows-and-comprehensive,8,1400,done,57ded48ed77903ea4599f4479ab2d8d375b891ea,
CR-V2-B6-017,6,P-C,false,CR-V2-B6-006,Implement embedded agent sessions and the generated tool registry,CR-V2-B6-017: implement-embedded-agent-sessions-and-the-generated-tool-r,8,1400,done,6a61246f20d747e1d1f633f62b9c58810bfadc72,
CR-V2-B6-018,6,P-C,false,CR-V2-B6-017,"Implement embedded agent planning, evidence retrieval, diff review, and execution",CR-V2-B6-018: implement-embedded-agent-planning-evidence-retrieval-diff-,8,1400,done,dd8f0cf8795ae4684a16b9a1ea0062350c2ae3e2,
CR-V2-B6-019,6,P-C,false,CR-V2-B6-018,Implement composited timeline inspection and sample sheets,CR-V2-B6-019: implement-composited-timeline-inspection-and-sample-sheets,8,1400,done,88d7607199ffb8b0528d9729b9446fbcc0f6eb5a,
CR-V2-B6-020,6,P-C,false,CR-V2-B6-019,Complete optional loopback MCP project navigation and write guards,CR-V2-B6-020: complete-optional-loopback-mcp-project-navigation-and-writ,8,1400,done,d6aea598be0f7dc82a1b4db90d58f7b24990e647,
CR-V2-B6-021,6,P-C,false,CR-V2-B6-020,"Implement accessibility, reduced motion, keyboard, and performance budgets",CR-V2-B6-021: implement-accessibility-reduced-motion-keyboard-and-perfor,8,1400,done,31b53eb9499e544a259751bd54f10f526db5f484,
CR-V2-B6-022,6,S,true,CR-V2-B6-011; CR-V2-B6-016; CR-V2-B6-021,Merge Book 6 lanes and replace the root Studio navigation,CR-V2-B6-022: merge-book-6-lanes-and-replace-the-root-studio-navigation,8,1400,done,d9a34cdd30fdf440cb60197957f8c393ca39cdfa,
CR-V2-B6-023,6,S,true,CR-V2-B6-022,"Integrate persistent job progress, recovery, notifications, and digests",CR-V2-B6-023: integrate-persistent-job-progress-recovery-notifications-a,8,1400,done,2fbef37aa071d495e9c31d883b8437dadbb5b88f,
CR-V2-B6-024,6,S,true,CR-V2-B6-023,Create deterministic visual QA fixtures for every Studio mode,CR-V2-B6-024: create-deterministic-visual-qa-fixtures-for-every-studio-m,220,45000,done,a2c9d7d7087f9cbc829d282f220c576e4449d064,
CR-V2-B6-025,6,S,true,CR-V2-B6-024,Run full four-lane Studio workflow tests with the embedded agent,CR-V2-B6-025: run-full-four-lane-studio-workflow-tests-with-the-embedded,80,14000,done,e3dd275ff10d7a18941808f86a92cc8124f99960,
CR-V2-B6-026,6,S,true,CR-V2-B6-025,Build the local development application bundle with all v2 modes,CR-V2-B6-026: build-the-local-development-application-bundle-with-all-v2,8,1400,done,1fa54e7e114393ae524a15e485fc92584c769fd7,
CR-V2-B6-027,6,S,true,CR-V2-B6-026,Run the authoritative Book 6 local gate and freeze Studio/agent evidence,CR-V2-B6-027: run-the-authoritative-book-6-local-gate-and-freeze-studio-,2,1600,done,c8d914b2978552ced4992b2cc39aea49c69d3edd,
CR-V2-B7-001,7,S,true,Book 6 final gate,"Freeze feedback, preference evidence, and per-format autonomy schemas",CR-V2-B7-001: freeze-feedback-preference-evidence-and-per-format-autonom,8,1400,done,c6eb0d018836bb9d34e6886c2c168246955f3945,
CR-V2-B7-002,7,S,true,CR-V2-B7-001,Freeze the security and privacy threat model,CR-V2-B7-002: freeze-the-security-and-privacy-threat-model,8,1400,done,3de6e6f5d62176ed7c11c40178a5e931c9b089f7,
CR-V2-B7-003,7,S,true,CR-V2-B7-002,"Freeze installer, bundle, pack, update, and rollback architecture",CR-V2-B7-003: freeze-installer-bundle-pack-update-and-rollback-architect,8,1400,done,4a67120af91615000fdf29931c4f23cd97585d09,
CR-V2-B7-004,7,S,true,CR-V2-B7-003,"Freeze migration, backup, recovery, and compatibility policy",CR-V2-B7-004: freeze-migration-backup-recovery-and-compatibility-policy,8,1400,done,fa16b15f12f469f157b107f496ff4195023fc83b,
CR-V2-B7-005,7,S,true,CR-V2-B7-004,Freeze release acceptance matrix and supported-target claims,CR-V2-B7-005: freeze-release-acceptance-matrix-and-supported-target-clai,8,1400,done,52ee3484a7bc3f625cce27f4c85eaae5040923e9,
CR-V2-B7-006,7,S,true,CR-V2-B7-005,"Freeze Book 7 autonomy, security/recovery, and distribution lane ownership",CR-V2-B7-006: freeze-book-7-autonomy-security-recovery-and-distribution-,8,1400,done,bb9d4a69aa5b29f1f77fe0c2f1be77925f3778ed,
CR-V2-B7-007,7,P-A,false,CR-V2-B7-006,Implement expanded hash-bound decision records,CR-V2-B7-007: implement-expanded-hash-bound-decision-records,8,1400,done,e0eda748e1162d185a42de908b6b1e70b5a7acae,
CR-V2-B7-008,7,P-A,false,CR-V2-B7-007,Implement evidence-backed per-format preference learning,CR-V2-B7-008: implement-evidence-backed-per-format-preference-learning,8,1400,done,12578f29357235dd6b5c7f549e904da4fecf0b44,
CR-V2-B7-009,7,P-A,false,CR-V2-B7-008,Implement applied format profiles with immutable versions,CR-V2-B7-009: implement-applied-format-profiles-with-immutable-versions,8,1400,done,43ec1f30b816e7841b303028618cc0441f26823e,
CR-V2-B7-010,7,P-A,false,CR-V2-B7-009,Implement autonomy advancement and automatic demotion,CR-V2-B7-010: implement-autonomy-advancement-and-automatic-demotion,8,1400,done,e0f5e12b8267b4728e018452ec6479bc384e4e86,
CR-V2-B7-011,7,P-A,false,CR-V2-B7-010,Implement autonomous orchestration with mandatory critic and digest,CR-V2-B7-011: implement-autonomous-orchestration-with-mandatory-critic-a,8,1400,done,f64e0b38f13af1e793ebdf06a7e4f86bb296d06b,
CR-V2-B7-012,7,P-B,false,CR-V2-B7-006,Implement sandboxed worker execution and untrusted-media limits,CR-V2-B7-012: implement-sandboxed-worker-execution-and-untrusted-media-l,8,1400,done,6e69ad8c16f0547803a86fec5cd5cf7edef391b4,
CR-V2-B7-013,7,P-B,false,CR-V2-B7-012,Implement crash recovery and project repair,CR-V2-B7-013: implement-crash-recovery-and-project-repair,8,1400,done,cd10333c20ab6c397cf996ce1c14affdc1977178,
CR-V2-B7-014,7,P-B,false,CR-V2-B7-013,"Implement tamper detection, receipt tree, and pack/project trust status",CR-V2-B7-014: implement-tamper-detection-receipt-tree-and-pack-project-t,8,1400,done,c6d2d94111ac112527358768a2ff11eb1d34bc81,
CR-V2-B7-015,7,P-B,false,CR-V2-B7-014,Implement privacy-safe local logs and telemetry-off defaults,CR-V2-B7-015: implement-privacy-safe-local-logs-and-telemetry-off-defaul,8,1400,done,c446445a886da95ec957cf65384aeba983826d9d,
CR-V2-B7-016,7,P-B,false,CR-V2-B7-015,"Implement pack repair, rollback, and offline payload integrity in Studio",CR-V2-B7-016: implement-pack-repair-rollback-and-offline-payload-integri,8,1400,done,003c9a6033360d2408f6d0aed6522a1d97ba83d1,
CR-V2-B7-017,7,P-C,false,CR-V2-B7-006,"Create local signing, notarization, and seal scripts without upload",CR-V2-B7-017: create-local-signing-notarization-and-seal-scripts-without,8,1400,done,23721bd940152859ebb6086bb949d12ec56fe614,
CR-V2-B7-018,7,P-C,false,CR-V2-B7-017,Assemble the complete offline installers and payload,CR-V2-B7-018: assemble-the-complete-offline-installers-and-payload,60,10000,done,304e119d9596b17ad84a71e470953975e8eb03d9,
CR-V2-B7-019,7,P-C,false,CR-V2-B7-018,Build the source distribution and LGPL corresponding-source bundle,CR-V2-B7-019: build-the-source-distribution-and-lgpl-corresponding-sourc,8,1400,done,1e5224f44b0f18123d632f155cc9b7848f55ed76,
CR-V2-B7-020,7,P-C,false,CR-V2-B7-019,Create rights-cleared sample projects and offline product documentation,CR-V2-B7-020: create-rights-cleared-sample-projects-and-offline-product-,180,40000,done,c0a2d3725f518652120f234a09f30b85edfdb17e,
CR-V2-B7-021,7,P-C,false,CR-V2-B7-020,"Implement the clean-machine, blocked-network acceptance harness",CR-V2-B7-021: implement-the-clean-machine-blocked-network-acceptance-har,40,12000,done,66b6997d2eecc6301a41977d132cda0c883dec01,
CR-V2-B7-022,7,S,true,CR-V2-B7-011; CR-V2-B7-016; CR-V2-B7-021,Merge Book 7 lanes and integrate v1-to-v2 project migration,CR-V2-B7-022: merge-book-7-lanes-and-integrate-v1-to-v2-project-migratio,40,7000,done,6f1158b15e17b46678f2b290d75c9a5b08b319b0,
CR-V2-B7-023,7,S,true,CR-V2-B7-022,Run final four-lane benchmark and Studio acceptance on supported targets,CR-V2-B7-023: run-final-four-lane-benchmark-and-studio-acceptance-on-sup,600,100000,done,5c89af90ce7a923cf5d20044a8d1918da2d11411,
CR-V2-B7-024,7,S,true,CR-V2-B7-023,"Run final security, privacy, licence, and supply-chain release audit",CR-V2-B7-024: run-final-security-privacy-licence-and-supply-chain-releas,8,1400,done,ce4daf5b5c2d599f9dc5589a06a600edc484bf6d,
CR-V2-B7-025,7,S,true,CR-V2-B7-024,"Generate the final SBOM, provenance graph, and release disclosure",CR-V2-B7-025: generate-the-final-sbom-provenance-graph-and-release-discl,12,5000,done,c9390d8df9018def811aa356465951ea805d6c84,
CR-V2-B7-026,7,S,true,CR-V2-B7-025,Build and seal the local release candidate,CR-V2-B7-026: build-and-seal-the-local-release-candidate,120,18000,done,52b9cce8a9840a00ad0eaa9a0119aa5f1b75071b,
CR-V2-B7-027,7,S,true,CR-V2-B7-026,"Run the final authoritative local gate, clean-machine proof, and checksum seal",CR-V2-B7-027: run-the-final-authoritative-local-gate-clean-machine-proof,3,1800,done,d8071c3463007dc3e60c2f01a5117c105c632ba5,
CR-V2-B1:,1,P-prep,false,between B1-006 and B1-007,prepare-shared-import-tooling-for-parallel-lanes (orchestrator variance),CR-V2-B1: prepare-shared-import-tooling-for-parallel-lanes,14,900,done_malformed_id,a80618cd00006b7b7101b721436f1d5ae7ace37e,task ID missing number; logged in orchestrator-variance.md V-1; see B1-malformed-id-disposition.md
