Task ID,Book,Lane,Sequential,Depends On,Title,Commit Message,File Ceiling,Line Ceiling,Status
CR-V2-B6-011,6,P-A,false,CR-V2-B6-010,"Implement Compare, Finals, and QA & Receipts modes",CR-V2-B6-011: implement-compare-finals-and-qa-receipts-modes,8,1400,not_started
CR-V2-B6-012,6,P-B,false,CR-V2-B6-006,Implement the non-destructive timeline editor,CR-V2-B6-012: implement-the-non-destructive-timeline-editor,60,12000,not_started
CR-V2-B6-013,6,P-B,false,CR-V2-B6-012,Implement Design mode,CR-V2-B6-013: implement-design-mode,8,1400,not_started
CR-V2-B6-014,6,P-B,false,CR-V2-B6-013,Implement Motion & Sound mode,CR-V2-B6-014: implement-motion-sound-mode,8,1400,not_started
CR-V2-B6-015,6,P-B,false,CR-V2-B6-014,Implement Assets and Auditions panels,CR-V2-B6-015: implement-assets-and-auditions-panels,8,1400,not_started
CR-V2-B6-016,6,P-B,false,CR-V2-B6-015,Implement corrective operation workflows and comprehensive undo UX,CR-V2-B6-016: implement-corrective-operation-workflows-and-comprehensive,8,1400,not_started
CR-V2-B6-017,6,P-C,false,CR-V2-B6-006,Implement embedded agent sessions and the generated tool registry,CR-V2-B6-017: implement-embedded-agent-sessions-and-the-generated-tool-r,8,1400,not_started
CR-V2-B6-018,6,P-C,false,CR-V2-B6-017,"Implement embedded agent planning, evidence retrieval, diff review, and execution",CR-V2-B6-018: implement-embedded-agent-planning-evidence-retrieval-diff-,8,1400,not_started
CR-V2-B6-019,6,P-C,false,CR-V2-B6-018,Implement composited timeline inspection and sample sheets,CR-V2-B6-019: implement-composited-timeline-inspection-and-sample-sheets,8,1400,not_started
CR-V2-B6-020,6,P-C,false,CR-V2-B6-019,Complete optional loopback MCP project navigation and write guards,CR-V2-B6-020: complete-optional-loopback-mcp-project-navigation-and-writ,8,1400,not_started
CR-V2-B6-021,6,P-C,false,CR-V2-B6-020,"Implement accessibility, reduced motion, keyboard, and performance budgets",CR-V2-B6-021: implement-accessibility-reduced-motion-keyboard-and-perfor,8,1400,not_started
CR-V2-B6-022,6,S,true,CR-V2-B6-011; CR-V2-B6-016; CR-V2-B6-021,Merge Book 6 lanes and replace the root Studio navigation,CR-V2-B6-022: merge-book-6-lanes-and-replace-the-root-studio-navigation,8,1400,not_started
CR-V2-B6-023,6,S,true,CR-V2-B6-022,"Integrate persistent job progress, recovery, notifications, and digests",CR-V2-B6-023: integrate-persistent-job-progress-recovery-notifications-a,8,1400,not_started
CR-V2-B6-024,6,S,true,CR-V2-B6-023,Create deterministic visual QA fixtures for every Studio mode,CR-V2-B6-024: create-deterministic-visual-qa-fixtures-for-every-studio-m,220,45000,not_started
CR-V2-B6-025,6,S,true,CR-V2-B6-024,Run full four-lane Studio workflow tests with the embedded agent,CR-V2-B6-025: run-full-four-lane-studio-workflow-tests-with-the-embedded,80,14000,not_started
CR-V2-B6-026,6,S,true,CR-V2-B6-025,Build the local development application bundle with all v2 modes,CR-V2-B6-026: build-the-local-development-application-bundle-with-all-v2,8,1400,not_started
CR-V2-B6-027,6,S,true,CR-V2-B6-026,Run the authoritative Book 6 local gate and freeze Studio/agent evidence,CR-V2-B6-027: run-the-authoritative-book-6-local-gate-and-freeze-studio-,2,1600,not_started
CR-V2-B7-001,7,S,true,Book 6 final gate,"Freeze feedback, preference evidence, and per-format autonomy schemas",CR-V2-B7-001: freeze-feedback-preference-evidence-and-per-format-autonom,8,1400,not_started
CR-V2-B7-002,7,S,true,CR-V2-B7-001,Freeze the security and privacy threat model,CR-V2-B7-002: freeze-the-security-and-privacy-threat-model,8,1400,not_started
CR-V2-B7-003,7,S,true,CR-V2-B7-002,"Freeze installer, bundle, pack, update, and rollback architecture",CR-V2-B7-003: freeze-installer-bundle-pack-update-and-rollback-architect,8,1400,not_started
CR-V2-B7-004,7,S,true,CR-V2-B7-003,"Freeze migration, backup, recovery, and compatibility policy",CR-V2-B7-004: freeze-migration-backup-recovery-and-compatibility-policy,8,1400,not_started
CR-V2-B7-005,7,S,true,CR-V2-B7-004,Freeze release acceptance matrix and supported-target claims,CR-V2-B7-005: freeze-release-acceptance-matrix-and-supported-target-clai,8,1400,not_started
CR-V2-B7-006,7,S,true,CR-V2-B7-005,"Freeze Book 7 autonomy, security/recovery, and distribution lane ownership",CR-V2-B7-006: freeze-book-7-autonomy-security-recovery-and-distribution-,8,1400,not_started
CR-V2-B7-007,7,P-A,false,CR-V2-B7-006,Implement expanded hash-bound decision records,CR-V2-B7-007: implement-expanded-hash-bound-decision-records,8,1400,not_started
CR-V2-B7-008,7,P-A,false,CR-V2-B7-007,Implement evidence-backed per-format preference learning,CR-V2-B7-008: implement-evidence-backed-per-format-preference-learning,8,1400,not_started
CR-V2-B7-009,7,P-A,false,CR-V2-B7-008,Implement applied format profiles with immutable versions,CR-V2-B7-009: implement-applied-format-profiles-with-immutable-versions,8,1400,not_started
CR-V2-B7-010,7,P-A,false,CR-V2-B7-009,Implement autonomy advancement and automatic demotion,CR-V2-B7-010: implement-autonomy-advancement-and-automatic-demotion,8,1400,not_started
CR-V2-B7-011,7,P-A,false,CR-V2-B7-010,Implement autonomous orchestration with mandatory critic and digest,CR-V2-B7-011: implement-autonomous-orchestration-with-mandatory-critic-a,8,1400,not_started
CR-V2-B7-012,7,P-B,false,CR-V2-B7-006,Implement sandboxed worker execution and untrusted-media limits,CR-V2-B7-012: implement-sandboxed-worker-execution-and-untrusted-media-l,8,1400,not_started
CR-V2-B7-013,7,P-B,false,CR-V2-B7-012,Implement crash recovery and project repair,CR-V2-B7-013: implement-crash-recovery-and-project-repair,8,1400,not_started
CR-V2-B7-014,7,P-B,false,CR-V2-B7-013,"Implement tamper detection, receipt tree, and pack/project trust status",CR-V2-B7-014: implement-tamper-detection-receipt-tree-and-pack-project-t,8,1400,not_started
CR-V2-B7-015,7,P-B,false,CR-V2-B7-014,Implement privacy-safe local logs and telemetry-off defaults,CR-V2-B7-015: implement-privacy-safe-local-logs-and-telemetry-off-defaul,8,1400,not_started
CR-V2-B7-016,7,P-B,false,CR-V2-B7-015,"Implement pack repair, rollback, and offline payload integrity in Studio",CR-V2-B7-016: implement-pack-repair-rollback-and-offline-payload-integri,8,1400,not_started
CR-V2-B7-017,7,P-C,false,CR-V2-B7-006,"Create local signing, notarization, and seal scripts without upload",CR-V2-B7-017: create-local-signing-notarization-and-seal-scripts-without,8,1400,not_started
CR-V2-B7-018,7,P-C,false,CR-V2-B7-017,Assemble the complete offline installers and payload,CR-V2-B7-018: assemble-the-complete-offline-installers-and-payload,60,10000,not_started
CR-V2-B7-019,7,P-C,false,CR-V2-B7-018,Build the source distribution and LGPL corresponding-source bundle,CR-V2-B7-019: build-the-source-distribution-and-lgpl-corresponding-sourc,8,1400,not_started
CR-V2-B7-020,7,P-C,false,CR-V2-B7-019,Create rights-cleared sample projects and offline product documentation,CR-V2-B7-020: create-rights-cleared-sample-projects-and-offline-product-,180,40000,not_started
CR-V2-B7-021,7,P-C,false,CR-V2-B7-020,"Implement the clean-machine, blocked-network acceptance harness",CR-V2-B7-021: implement-the-clean-machine-blocked-network-acceptance-har,40,12000,not_started
CR-V2-B7-022,7,S,true,CR-V2-B7-011; CR-V2-B7-016; CR-V2-B7-021,Merge Book 7 lanes and integrate v1-to-v2 project migration,CR-V2-B7-022: merge-book-7-lanes-and-integrate-v1-to-v2-project-migratio,40,7000,not_started
CR-V2-B7-023,7,S,true,CR-V2-B7-022,Run final four-lane benchmark and Studio acceptance on supported targets,CR-V2-B7-023: run-final-four-lane-benchmark-and-studio-acceptance-on-sup,600,100000,not_started
CR-V2-B7-024,7,S,true,CR-V2-B7-023,"Run final security, privacy, licence, and supply-chain release audit",CR-V2-B7-024: run-final-security-privacy-licence-and-supply-chain-releas,8,1400,not_started
CR-V2-B7-025,7,S,true,CR-V2-B7-024,"Generate the final SBOM, provenance graph, and release disclosure",CR-V2-B7-025: generate-the-final-sbom-provenance-graph-and-release-discl,12,5000,not_started
CR-V2-B7-026,7,S,true,CR-V2-B7-025,Build and seal the local release candidate,CR-V2-B7-026: build-and-seal-the-local-release-candidate,120,18000,not_started
CR-V2-B7-027,7,S,true,CR-V2-B7-026,"Run the final authoritative local gate, clean-machine proof, and checksum seal",CR-V2-B7-027: run-the-final-authoritative-local-gate-clean-machine-proof,3,1800,not_started
